,City,Province,City Population,11.1.1,11.1.1cm,11.1.1f,11.2.1,11.2.1cm,11.2.1f,11.3.1,11.3.1cm,11.3.1f,11.6.2,11.6.2cm,11.6.2f,11.7.2,11.7.2cm,11.7.2f,11.1.1_python,11.2.1_python,11.3.1_python,11.6.2_python,11.7.2_python,11.1.1_python_inverted,11.2.1_python_inverted,11.3.1_python_inverted,11.6.2_python_inverted,11.7.2_python_inverted
0,Min,,,0.0,,,59.9,,,1.0,,,5.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1,Max,,,0.19,,,100.0,,,4.1,,,8.3,,,163.3,,,0.9947643979057591,0.9999999999999998,1.0,1.0000000000000002,1.0,0.005235602094240899,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0
2,St. John's,NL,"202,621",0.115,0.602094241,0.397905759,59.9,0.0,0.0,2.800718484,0.58087693,0.41912307,5.1,0.03030303,0.96969697,66.25,0.40569504,0.59430496,0.6020942408376964,0.0,0.5808769303225807,0.030303030303030276,0.4056950398040416,0.39790575916230364,1.0,0.4191230696774193,0.9696969696969697,0.5943049601959585
3,Halifax,NS,"402,567",0.137,0.717277487,0.282722513,70.9,0.274314214,0.274314214,2.854260869,0.598148667,0.401851333,5.0,0.0,1.0,163.3,1.0,0.0,0.7172774869109948,0.2743142144638404,0.5981486674193549,0.0,1.0,0.2827225130890052,0.7256857855361596,0.4018513325806451,1.0,0.0
4,Quebec City,QC,"780,496",0.072,0.376963351,0.623036649,83.1,0.578553616,0.578553616,2.379058873,0.444857701,0.555142299,8.2,0.96969697,0.03030303,57.12,0.349785671,0.650214329,0.37696335078534027,0.5785536159600995,0.444857700967742,0.9696969696969695,0.34978567054500914,0.6230366492146597,0.42144638403990053,0.555142299032258,0.030303030303030498,0.6502143294549909
5,Sherbrooke,QC,"205,654",0.072,0.376963351,0.623036649,76.4,0.411471322,0.411471322,3.450429658,0.79046118,0.20953882,5.0,0.0,1.0,74.54,0.456460502,0.543539498,0.37696335078534027,0.4114713216957606,0.7904611800000002,0.0,0.45646050214329453,0.6230366492146597,0.5885286783042394,0.2095388199999998,1.0,0.5435394978567054
6,Montréal,QC,"4,017,425",0.109,0.570680628,0.429319372,91.6,0.790523691,0.790523691,2.417237563,0.457173407,0.542826593,7.1,0.636363636,0.363636364,63.55,0.389161053,0.610838947,0.5706806282722513,0.7905236907730673,0.45717340741935486,0.636363636363636,0.3891610532761788,0.4293193717277487,0.20947630922693272,0.5428265925806451,0.363636363636364,0.6108389467238212
7,Toronto,ON,"5,832,477",0.191,1.0,0.0,93.0,0.825436409,0.825436409,1.082207186,0.026518447,0.973481553,7.0,0.606060606,0.393939394,59.61,0.36503368,0.63496632,1.0,0.8254364089775559,0.0265184470967742,0.6060606060606062,0.3650336803429271,0.0,0.17456359102244412,0.9734815529032258,0.3939393939393938,0.634966319657073
8,Hamilton,ON,"746,907",0.13,0.680628272,0.319371728,81.1,0.528678304,0.528678304,2.24767677,0.402476378,0.597523622,7.8,0.848484848,0.151515152,84.7,0.518677281,0.481322719,0.6806282722513088,0.5286783042394012,0.40247637741935494,0.8484848484848484,0.518677281077771,0.31937172774869116,0.4713216957605988,0.5975236225806451,0.1515151515151516,0.481322718922229
9,St. Catharines--Niagara,ON,"405,963",0.139,0.727748691,0.272251309,80.9,0.523690773,0.523690773,4.089666776,0.996666702,0.003333298,6.9,0.575757576,0.424242424,75.77,0.463992652,0.536007348,0.7277486910994765,0.5236907730673319,0.9966667019354839,0.5757575757575759,0.4639926515615431,0.2722513089005235,0.4763092269326681,0.0033332980645160992,0.4242424242424241,0.5360073484384569
10,Kitchener--Cambridge--Waterloo,ON,"517,217",0.114,0.596858639,0.403141361,86.2,0.655860349,0.655860349,1.247404745,0.079807982,0.920192018,7.3,0.696969697,0.303030303,84.78,0.519167177,0.480832823,0.5968586387434555,0.6558603491271822,0.07980798225806457,0.696969696969697,0.5191671769748928,0.40314136125654454,0.34413965087281784,0.9201920177419354,0.303030303030303,0.4808328230251072
11,London,ON,"492,692",0.139,0.727748691,0.272251309,77.7,0.443890274,0.443890274,2.092791286,0.352513318,0.647486682,6.8,0.545454545,0.454545455,81.69,0.500244948,0.499755052,0.7277486910994765,0.4438902743142146,0.35251331806451625,0.5454545454545452,0.5002449479485609,0.2722513089005235,0.5561097256857854,0.6474866819354838,0.4545454545454548,0.4997550520514391
12,Windsor,ON,"332,586",0.117,0.612565445,0.387434555,67.1,0.179551122,0.179551122,3.970654057,0.958275502,0.041724498,8.3,1.0,0.0,66.33,0.406184936,0.593815064,0.612565445026178,0.17955112219451363,0.9582755022580646,1.0000000000000002,0.4061849357011635,0.38743455497382195,0.8204488778054864,0.04172449774193543,-2.220446049250313e-16,0.5938150642988365
13,Winnipeg,MB,"757,962",0.121,0.633507853,0.366492147,88.2,0.705735661,0.705735661,2.074229943,0.346525788,0.653474212,5.8,0.242424242,0.757575758,99.18,0.607348438,0.392651562,0.6335078534031413,0.7057356608478804,0.3465257880645163,0.24242424242424243,0.607348438456828,0.3664921465968587,0.2942643391521196,0.6534742119354837,0.7575757575757576,0.39265156154317205
14,Regina,SK,"225,162",0.133,0.696335079,0.303664921,90.4,0.760598504,0.760598504,2.2393398,0.399787032,0.600212968,8.1,0.939393939,0.060606061,84.37,0.516656461,0.483343539,0.6963350785340314,0.7605985037406484,0.39978703225806467,0.9393939393939392,0.5166564605021433,0.3036649214659686,0.2394014962593516,0.6002129677419353,0.060606060606060774,0.4833435394978567
15,Saskatoon,SK,"279,499",0.118,0.617801047,0.382198953,82.6,0.566084788,0.566084788,1.841139631,0.271335365,0.728664635,6.8,0.545454545,0.454545455,102.37,0.626883037,0.373116963,0.6178010471204188,0.5660847880299251,0.2713353648387098,0.5454545454545452,0.6268830373545622,0.38219895287958117,0.4339152119700749,0.7286646351612902,0.4545454545454548,0.3731169626454378
16,Calgary,AB,"1,310,734",0.113,0.591623037,0.408376963,88.9,0.72319202,0.72319202,1.0,0.0,1.0,5.2,0.060606061,0.939393939,70.78,0.433435395,0.566564605,0.5916230366492147,0.7231920199501249,0.0,0.06060606060606055,0.43343539497856703,0.4083769633507853,0.27680798004987506,1.0,0.9393939393939394,0.566564605021433
17,Edmonton,AB,"1,245,018",0.123,0.643979058,0.356020942,82.7,0.568578554,0.568578554,1.487190585,0.157158253,0.842841747,6.4,0.424242424,0.575757576,85.57,0.524004899,0.475995101,0.643979057591623,0.56857855361596,0.15715825322580645,0.4242424242424243,0.5240048989589712,0.356020942408377,0.43142144638404,0.8428417467741935,0.5757575757575757,0.4759951010410288
18,Vancouver,BC,"2,420,788",0.176,0.921465969,0.078534031,92.7,0.817955112,0.817955112,1.0,0.0,1.0,5.0,0.0,1.0,52.28,0.320146969,0.679853031,0.9214659685863873,0.8179551122194513,0.0,0.0,0.32014696876913656,0.0785340314136127,0.18204488778054873,1.0,1.0,0.6798530312308635
19,Victoria,BC,"361,091",0.142,0.743455497,0.256544503,90.4,0.760598504,0.760598504,1.219278669,0.070735055,0.929264945,5.0,0.0,1.0,71.27,0.436436007,0.563563993,0.7434554973821988,0.7605985037406484,0.07073505451612899,0.0,0.4364360073484384,0.25654450261780115,0.2394014962593516,0.9292649454838711,1.0,0.5635639926515617
